,Unnamed: 0,id,text_ids,question,answer
1384,0,2303,[9797 8675 11007 4654],What type of insects are vectors for the Haemosporida?,"Ceratopogonidae, Culicidae, and Nycteribiidae"
2157,0,2310,[736 9830 5892 3158],What is the basis of the security of the BBS algorithm?,The computational difficulty of factoring large numbers
1685,0,2548,[10371 6103],What is the purpose of the catalase test in bacterial identification?,To identify bacterial species and determine their antibiotic resistance
1122,0,552,[11829 6677 7137],What type of cells clear small particles in vertebrates?,Scavenger endothelial cells
1799,0,1822,[4105 1016],What information is needed to decrypt a message in certificateless cryptography?,The user's private key
1786,0,1356,[9625 2562],What is characterized by a decrease in activity in wakefulness-related regions of the brain and an increase in activity in sleep-related regions of the brain?,Microsleeps
975,0,2198,[4617 13218],What is the concept used to describe the spin of particles like protons and neutrons in particle physics?,Singlet states
1303,0,549,[478 12688],What is the name of the line in a Hertzsprung-Russell diagram where horizontal branch stars are found?,The horizontal branch
337,0,608,[11175 2184 8296],What is formed when a river drops more particles than it picks up?,Flood plains and deltas
1381,0,998,[11700 8517 187],"What is the process in geometry that extends a polygon, polyhedron, or polytope to form a new figure?",Stellation
2137,0,523,[3443 12941 530],What is the half-life of 36Cl?,"308,000 years"
1582,0,1136,[10230 6838 2108],What is the composition of the interplanetary medium?,"Interplanetary dust, cosmic rays, and hot plasma from the solar wind"
51,0,477,[12771 13090],What is the only treatment for Omenn syndrome?,Chemotherapy followed by a bone marrow transplantation
1092,0,975,[4042 4934 4044],What property do normal functions always satisfy?,They are always greater than or equal to their input ordinal
38,0,866,[6594 3662 5157],What enzyme catalyzes the conversion of 4-maleylacetoacetate to 4-fumarylacetoacetate?,4-maleylacetoacetate isomerase
753,0,1084,[10460 9059 7546],What is the origin of Abamectin?,It is a natural fermentation product of Streptomyces avermitilis
1598,0,2060,[8010 2307 175],What is the purpose of ALC-0315 in the BNT162b2 vaccine?,To encapsulate and protect the fragile mRNA that carries the genetic information for the SARS-CoV-2 spike protein
450,0,1920,[8729 7993 7754],What is dehydroalanine found naturally in?,Peptides of microbial origin
1205,0,2550,[6011 6039],What is the purpose of using a stream of high-energy ions in Heavy Ion Fusion?,To rapidly heat and compress a small pellet of fusion fuel
177,0,2132,[1902 8716 6799 6114],What is the primary way in which LGV is spread?,Through breaks in the skin or mucous membranes
1890,0,1067,[6494 1763 6090],What is the focal length range of the EF 24-105mm f/4L IS USM lens?,24-105mm
1676,0,1485,[4648 3921 2065],What is the adiabatic temperature rise of DNAN on explosion?,4923°C
1741,0,1431,[10563 2069 8530 2682],What is the number of vertices in a 6-orthoplex?,12 vertices
821,0,195,[5141 2306 9219],What is the name of the Finnish national author after whom Aleksis Kiven katu is named?,Aleksis Kivi
261,0,2262,[9205 13156 12292 5924],What is a factor that plays a critical role in reading and has a significant effect on phonological dyslexia?,Imageability
1644,0,1770,[12696 11533 8934 4888],What is the expected risk of venous thromboembolism (VTE) for Estetrol?,It is expected to have a low risk
2180,0,685,[1671 5741 4584],What are some treatment options for far-sightedness?,"Corrective lenses, such as eyeglasses or contact lenses, and surgical procedures like LASIK, PRK, and IOL implantation"
693,0,849,[2025 11631],What is the maximum percentage of the stellar surface that starspots can cover?,Up to 30%
669,0,2541,[10292 11475 7311],What is the sum of the internal angles of a regular octagon?,1080°
403,0,1574,[2166 3985 13067],What type of bacteria are the majority of the microbial community in Arctic and Antarctic sea ice?,"Alphaproteobacteria, Gammaproteobacteria, and Flavobacteriia"
1592,0,2522,[8717 2645 11545],What is the formula of phloroglucinol?,C6H3(OH)3
1923,0,2651,[6335 8169],What is a key challenge in transmitarray design?,The trade-off between gain and loss
390,0,1284,[9121 2409],What was the sensitivity of the seismometers used in the Apollo 14 Passive Seismic Experiment?,0.008 mgal
1779,0,728,[6879 1772 2475],What is the molecular weight of β-Lactoglobulin?,18.4 kDa
1671,0,1483,[13261 5761 11304],What is the predicted molecular weight of the CXorf36 protein?,48.6 kDa
234,0,2407,[8314 8044 21],What is the source of p-hydroxyphenylpyruvate in the biosynthesis of plastoquinone?,Tyrosine
1973,0,354,[6644 9101],What is the target year for eliminating leprosy by the World Health Organization?,2025
1876,0,401,[11751 3240],What type of graph can be embedded into the plane?,Planar graph
1794,0,2439,[2299 8016 11224 10273],What is the function of IGFBP-3?,It binds to insulin-like growth factors (IGFs) with high affinity
1642,0,1099,[2018 10614 11860 10442],What type of inhibitor is RTI-31?,A balanced reuptake inhibitor
1776,0,1991,[9841 4916 283],What is the study of phytochemicals called?,Phytochemistry
1739,0,1449,[5887 5544 2534 12275],What is the color of methemoglobin?,It is bluish chocolate-brown
1850,0,2560,[11281 4164],What is one application of perforation in the packaging industry?,It is used for easy-open packaging
831,0,767,[1700 7307 1418],What is the catalyst used in the synthesis of altertoxin III framework?,Hf(OTf)4
268,0,1243,[7044 3359],What is the effect of OGG1 deficiency on cancer risk in mice?,Increased risk of cancer
926,0,2078,[2090 9244 8930],What are the parameters commonly used to describe surface roughness?,"Ra, Rz, and Sa"
1052,0,2421,[5477 2960 13193 2277],What is the main source of boron for industrial and agricultural applications?,Borate minerals
1963,0,838,[5823 3777 2128],What is the causative agent of Johne's disease?,Mycobacterium avium subspecies paratuberculosis (MAP)
310,0,892,[12095 6361 13211],What is a common site for lipomas to occur in familial multiple lipomatosis?,In the trunk and extremities
171,0,1634,[5255 3762 1929],What is the main cause of Autosomal Dominant Cerebellar Ataxia (ADCA)?,Mutations in genes that code for proteins leading to degeneration and death of neurons
2188,0,1628,[1908 7494 3674],What is the role of INK4 proteins in the cell cycle?,They inhibit CDK4/6 and induce cell cycle arrest in the G1 phase
120,0,2322,[8447 10909],What is the name of the person who first described SPEKE?,David Jablon
557,0,823,[2394 8461],What is the sum of the interior angles of a non-self-intersecting 65537-gon?,"11796300°

Please let me know if I should make any changes. Thank you for your time"
1465,0,2315,[2996 12046],What is the structure of the α-form of BiF3?,It has a face-centered cubic structure
421,0,2273,[1308 1435 8578 9963],What is the molecular weight of the DEPDC7 protein?,58310
1947,0,2717,[7898 8018 2119 8982],What is the host of Pseudorhabdosynochus sulamericanus?,"The type-host of Pseudorhabdosynochus sulamericanus is the snowy grouper, Epinephelus niveatus"
672,0,861,[6717 7002 8928],What is the most common method of CDC synthesis?,Dry chlorine treatment
459,0,1778,[12707 4895],What protein is phosphorylated after DNA double-strand breaks?,Histone H2AX
1116,0,832,[12024 12725],What are some of the applications of recurrence relations?,"They have many applications in various fields, including biology, computer science, digital signal processing, and economics"
1807,0,1875,[12065 4049],What is the role of fucosyltransferase in the biosynthesis of carbohydrate antigens?,It is responsible for transferring an L-fucose sugar from a GDP-fucose donor substrate to an acceptor substrate
1411,0,983,[6498 5038],What is the half-life of Osemozotan?,1.3 hours
898,0,1273,[3283 3175 389 2658],What type of organisms are included in the order Helotiales?,Fungal plant pathogens
895,0,1313,[1831 3554 8952 3102],What type of mycotoxin is produced by Penicillium verrucosum?,Ochratoxin A
1296,0,221,[1325 5315 11748],What is a characteristic of conformastatic spacetimes?,They have only one metric function to be identified
507,0,2335,[11689 6864 9674],What is the fluorine source used in MTV compositions?,Polytetrafluoroethylene
2173,0,725,[6024 10382 1326],What is the kissing number of the D6 lattice?,60
2095,0,947,[573 8573],What is the phase transition temperature of sodium peroxide?,512°C
836,0,475,[9590 7544 7959],What is the name of the unsupervised procedure used to train a Deep Belief Network?,Contrastive divergence
