,id,text
0,0,"  A Stern prime is a prime number that cannot be expressed as the sum of a smaller prime and twice the square of a non-zero integer. Examples of Stern primes include 2, 3, 17, 137, and 977."
0,1,"  Bistriflimide is used in ionic liquids, such as trioctylmethylammonium bis(trifluoromethylsulfonyl)imide, due to its non-coordinating properties and stability. This makes it a safer and more effective alternative to traditional counterions like tetrafluoroborate."
0,2,"  Symptoms of bone tumors include a lump, pain, neurological signs, and sometimes no symptoms at all. Diagnosis is typically made with X-rays, CT scans, and blood tests, and may require a biopsy for confirmation."
0,3,"  NFE2L1 is a transcription factor that regulates various cellular functions, including oxidative stress response, differentiation, inflammatory response, metabolism, and maintaining proteostasis. It is a key regulator of cellular protection against oxidative stress and maintains proteasome expression and function."
0,4,"  Laser beam machining uses heat from a laser beam to remove material from metallic or nonmetallic surfaces. The process is suitable for brittle materials with low conductivity and can be used on most materials. The laser beam can be focused to a small diameter, producing high power and precision machining."
0,5,"  The CCDC138 gene is expressed at low levels in almost all human tissues, but higher levels have been seen in certain cancer tissues. The promoter region of CCDC138 is characterized, and two alternative transcript variants have been identified."
0,6,"  Logitech has released firmware updates to address security vulnerabilities. Linux users can use fwupd to flash an updated firmware, while Windows users can use the Logitech update executable. Updating the firmware can limit some functionality of certain paired devices unless their firmware is also updated."
0,7,"  Ceramide phosphoethanolamine synthase belongs to the family of transferases, specifically those transferring non-standard substituted phosphate groups."
0,8,"  A moonbow is a rainbow produced by moonlight, caused by the refraction of light in water droplets, and appears white due to the faint light reflected from the Moon."
0,9,"  Respiratory droplets can transmit respiratory diseases, including influenza, rhinovirus, and coronaviruses. Transmission can occur when droplets reach susceptible mucosal surfaces, such as the eyes, nose, or mouth, and can also occur indirectly through contact with contaminated surfaces."
0,10,"  BOMT was investigated for the treatment of various conditions, including benign prostatic hyperplasia, acne, pattern hair loss, and prostate cancer. Although development for these indications did not continue, its potential applications remain of interest in the field of medicine."
0,11,"  In some shark species, embryos feed on eggs produced by the ovary while still inside the mother's uterus, a practice called oophagy. This behavior has been observed in several shark species, including the bigeye thresher, pelagic thresher, and shortfin mako."
